Last 30 Days,79489.83,+1939.6,+2.50%,165520
June 2020,77550.23,25712.82,+49.60%,213681
May 2020,51837.42,-14382.23,-21.72%,76476
April 2020,66219.64,-11351.75,-14.63%,100645
March 2020,77571.40,14522.77,+23.03%,117425
February 2020,63048.62,-2906.48,-4.41%,93065
January 2020,65955.10,-26215.88,-28.44%,108724
December 2019,92170.98,-15784.79,-14.62%,138593
November 2019,107955.77,-57352.05,-34.69%,195407
